City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-cartier,50.0334,-66.8654,267.21,85,100,3.14,CA,2023-02-08 01:45:35
1,tuktoyaktuk,69.4541,-133.0374,241.15,75,100,1.54,CA,2023-02-08 01:41:01
2,atuona,-9.8,-139.0333,299.42,74,28,7.37,PF,2023-02-08 01:45:44
3,avarua,-21.2078,-159.775,302.18,74,28,5.14,CK,2023-02-08 01:45:44
4,klaksvik,62.2266,-6.589,281.66,84,100,25.39,FO,2023-02-08 01:43:55
5,lavrentiya,65.5833,-171.0,247.43,92,97,1.24,RU,2023-02-08 01:45:48
6,braganca paulista,-22.94,-46.5556,291.74,98,99,1.56,BR,2023-02-08 01:45:50
7,saint anthony,45.0205,-93.218,272.03,78,0,2.06,US,2023-02-08 01:45:51
8,waverly,42.7392,-84.6208,276.11,78,100,8.23,US,2023-02-08 01:45:52
9,takoradi,4.8845,-1.7554,298.69,87,100,2.06,GH,2023-02-08 01:45:52
10,norman wells,65.282,-126.8329,251.17,71,75,0.0,CA,2023-02-08 01:45:52
11,shestakovo,56.4915,103.96,258.86,97,100,1.63,RU,2023-02-08 01:45:53
12,pizhanka,57.4604,48.542,260.19,92,100,4.89,RU,2023-02-08 01:45:53
13,sechura,-5.5569,-80.8222,297.97,74,99,5.14,PE,2023-02-08 01:42:58
14,pasvalys,56.0594,24.4036,270.07,92,99,4.57,LT,2023-02-08 01:45:53
15,kaitangata,-46.2817,169.8464,288.1,49,11,6.88,NZ,2023-02-08 01:45:54
16,cherskiy,68.75,161.3,239.37,96,100,2.46,RU,2023-02-08 01:43:21
17,cabo san lucas,22.8909,-109.9124,295.32,59,40,2.06,MX,2023-02-08 01:45:54
18,ribeira grande,38.5167,-28.7,286.36,66,9,3.58,PT,2023-02-08 01:45:54
19,hobart,-42.8794,147.3294,290.52,66,75,6.69,AU,2023-02-08 01:45:55
20,provideniya,64.3833,-173.3,254.21,65,100,3.0,RU,2023-02-08 01:45:55
21,kodiak,57.79,-152.4072,271.88,51,0,7.72,US,2023-02-08 01:45:55
22,salalah,17.0151,54.0924,293.2,52,0,1.54,OM,2023-02-08 01:45:56
23,bredasdorp,-34.5322,20.0403,291.69,79,11,3.16,ZA,2023-02-08 01:45:56
24,rikitea,-23.1203,-134.9692,299.8,68,10,4.45,PF,2023-02-08 01:45:56
25,bluff,-46.6,168.3333,288.04,61,62,11.74,NZ,2023-02-08 01:45:56
26,springbok,-29.6643,17.8865,289.42,74,15,1.26,ZA,2023-02-08 01:45:57
27,bethel,41.3712,-73.414,276.45,77,100,1.54,US,2023-02-08 01:45:58
28,paamiut,61.994,-49.6678,254.26,86,76,5.14,GL,2023-02-08 01:45:58
29,georgetown,5.4112,100.3354,300.11,88,20,4.12,MY,2023-02-08 01:42:35
30,severo-kurilsk,50.6789,156.125,269.16,54,12,4.27,RU,2023-02-08 01:45:59
31,corinto,37.9407,22.9573,278.09,82,90,2.13,GR,2023-02-08 01:45:59
32,suntar,62.1444,117.6319,241.55,96,100,1.05,RU,2023-02-08 01:44:46
33,iqaluit,63.7506,-68.5145,240.0,75,75,0.0,CA,2023-02-08 01:41:11
34,alice springs,-23.7,133.8833,306.9,40,0,5.66,AU,2023-02-08 01:45:59
35,pisco,-13.7,-76.2167,297.18,83,0,6.17,PE,2023-02-08 01:46:00
36,beidao,34.5686,105.8933,276.99,78,100,1.62,CN,2023-02-08 01:46:00
37,cidreira,-30.1811,-50.2056,297.35,80,15,6.42,BR,2023-02-08 01:46:00
38,ancud,-41.8697,-73.8203,287.24,94,0,1.62,CL,2023-02-08 01:41:10
39,mataura,-46.1927,168.8643,287.86,65,73,4.79,NZ,2023-02-08 01:46:01
40,pithora,21.2667,82.5167,290.99,37,3,0.9,IN,2023-02-08 01:46:01
41,husavik,66.0449,-17.3389,268.63,70,96,6.11,IS,2023-02-08 01:42:53
42,awbari,26.5921,12.7805,285.84,34,97,5.96,LY,2023-02-08 01:46:04
43,busselton,-33.65,115.3333,297.57,50,0,2.56,AU,2023-02-08 01:46:06
44,eureka,40.8021,-124.1637,286.49,84,98,1.83,US,2023-02-08 01:46:19
45,saint-philippe,-21.3585,55.7679,297.92,83,90,6.32,RE,2023-02-08 01:46:19
46,emirdag,39.0197,31.15,265.35,95,86,2.88,TR,2023-02-08 01:46:20
47,hermanus,-34.4187,19.2345,293.04,83,0,5.29,ZA,2023-02-08 01:46:34
48,ilulissat,69.2167,-51.1,246.16,76,100,2.57,GL,2023-02-08 01:46:34
49,avera,33.194,-82.5271,284.21,57,96,1.67,US,2023-02-08 01:46:34
50,saskylakh,71.9167,114.0833,239.24,100,100,0.32,RU,2023-02-08 01:46:42
51,stanislav,46.5691,32.1478,270.07,64,100,9.93,UA,2023-02-08 01:46:42
52,manicore,-5.8092,-61.3003,297.12,94,0,1.03,BR,2023-02-08 01:46:50
53,cape town,-33.9258,18.4232,294.38,72,0,6.26,ZA,2023-02-08 01:41:35
54,puerto ayora,-0.7393,-90.3518,299.57,92,52,3.13,EC,2023-02-08 01:46:51
55,ushuaia,-54.8,-68.3,282.96,71,20,5.14,AR,2023-02-08 01:46:52
56,lompoc,34.6391,-120.4579,288.16,81,40,3.09,US,2023-02-08 01:46:52
57,huarmey,-10.0681,-78.1522,295.62,83,6,2.67,PE,2023-02-08 01:46:52
58,carnarvon,-24.8667,113.6333,301.95,52,0,7.04,AU,2023-02-08 01:46:53
59,richards bay,-28.783,32.0377,295.65,97,3,1.43,ZA,2023-02-08 01:46:53
60,sirjan,29.452,55.6814,282.0,69,100,4.46,IR,2023-02-08 01:46:53
61,port elizabeth,-33.918,25.5701,293.76,91,40,2.57,ZA,2023-02-08 01:46:54
62,konosha,60.9736,40.257,267.31,90,100,4.1,RU,2023-02-08 01:46:54
63,dikson,73.5069,80.5464,250.78,90,100,9.73,RU,2023-02-08 01:46:54
64,bilibino,68.0546,166.4372,236.71,98,100,1.0,RU,2023-02-08 01:46:55
65,souillac,-20.5167,57.5167,299.36,83,40,4.63,MU,2023-02-08 01:42:35
66,fallon,39.4735,-118.7774,280.08,54,75,2.06,US,2023-02-08 01:46:55
67,tiksi,71.6872,128.8694,237.04,99,100,2.49,RU,2023-02-08 01:46:55
68,vaini,-21.2,-175.2,301.24,89,75,3.09,TO,2023-02-08 01:46:56
69,albany,42.6001,-73.9662,274.51,80,100,0.89,US,2023-02-08 01:45:15
70,tuatapere,-46.1333,167.6833,286.63,58,67,6.89,NZ,2023-02-08 01:46:56
71,xingyi,24.1877,102.817,287.17,42,0,3.14,CN,2023-02-08 01:46:56
72,smithers,54.7804,-127.1743,269.33,100,75,1.03,CA,2023-02-08 01:46:57
73,rawson,-43.3002,-65.1023,291.8,60,3,2.85,AR,2023-02-08 01:46:57
74,airai,-8.9266,125.4092,294.28,78,77,1.4,TL,2023-02-08 01:44:29
75,yulara,-25.2406,130.9889,308.73,18,0,3.01,AU,2023-02-08 01:46:57
76,dingle,10.9995,122.6711,299.79,78,100,5.64,PH,2023-02-08 01:46:57
77,faanui,-16.4833,-151.75,300.43,73,24,5.43,PF,2023-02-08 01:46:58
78,nemuro,43.3236,145.575,269.9,59,35,1.97,JP,2023-02-08 01:46:58
79,saint george,37.1041,-113.5841,282.83,40,0,4.12,US,2023-02-08 01:46:58
80,thompson,55.7435,-97.8558,257.24,85,100,1.54,CA,2023-02-08 01:44:45
81,los llanos de aridane,28.6585,-17.9182,285.01,67,0,2.57,ES,2023-02-08 01:44:47
82,tanout,14.9709,8.8879,290.98,21,87,4.67,NE,2023-02-08 01:46:59
83,umm lajj,25.0213,37.2685,289.42,57,93,4.29,SA,2023-02-08 01:46:59
84,jamestown,42.097,-79.2353,280.95,70,75,7.2,US,2023-02-08 01:44:21
85,ternate,0.8,127.4,298.07,91,100,4.78,ID,2023-02-08 01:46:59
86,yellowknife,62.456,-114.3525,253.44,77,75,2.57,CA,2023-02-08 01:44:53
87,butaritari,3.0707,172.7902,300.34,81,100,9.8,KI,2023-02-08 01:47:00
88,aljezur,37.3191,-8.8033,282.19,89,3,2.61,PT,2023-02-08 01:47:00
89,sola,-13.8833,167.55,300.87,77,94,6.54,VU,2023-02-08 01:47:01
90,hilo,19.7297,-155.09,298.31,90,100,6.69,US,2023-02-08 01:46:43
91,mar del plata,-38.0023,-57.5575,296.53,93,40,8.94,AR,2023-02-08 01:47:01
92,te anau,-45.4167,167.7167,287.54,46,50,5.28,NZ,2023-02-08 01:47:02
93,tasiilaq,65.6145,-37.6368,256.24,37,0,12.66,GL,2023-02-08 01:47:03
94,waingapu,-9.6567,120.2641,302.07,73,46,5.02,ID,2023-02-08 01:47:04
95,beloha,-25.1667,45.05,296.24,79,100,3.44,MG,2023-02-08 01:47:07
96,victoria,22.2855,114.1577,292.18,87,97,5.81,HK,2023-02-08 01:42:18
97,kaoma,-14.7833,24.8,290.01,99,98,1.82,ZM,2023-02-08 01:47:14
98,bengkulu,-3.8004,102.2655,300.46,63,74,2.39,ID,2023-02-08 01:42:49
99,punta arenas,-53.15,-70.9167,285.21,76,0,4.12,CL,2023-02-08 01:45:07
100,wanaka,-44.7,169.15,293.21,31,96,4.47,NZ,2023-02-08 01:47:30
101,burns lake,54.2331,-125.7533,269.83,97,97,0.9,CA,2023-02-08 01:47:32
102,lagoa,39.05,-27.9833,286.33,56,100,6.4,PT,2023-02-08 01:47:32
103,svilengrad,41.7667,26.2,271.01,65,89,2.4,BG,2023-02-08 01:47:33
104,hambantota,6.1241,81.1185,296.34,100,20,2.57,LK,2023-02-08 01:47:33
105,pangnirtung,66.1451,-65.7125,239.38,84,6,2.35,CA,2023-02-08 01:47:34
106,chuy,-33.6971,-53.4616,294.65,80,27,3.3,UY,2023-02-08 01:47:34
107,buritizeiro,-17.3511,-44.9622,296.27,79,99,0.9,BR,2023-02-08 01:47:34
108,lundazi,-12.2929,33.1782,290.6,96,100,2.47,ZM,2023-02-08 01:47:40
